question_id,subject,difficulty,model,strategy,gold,pred,stem,choices
civics_2023_q117,civics,hard,Qwen3 235B,zero-shot,C,D,"Chủ một cửa hàng thiết bị y tế là anh A đã nhờ chị N, chủ một đại lí thuốc tân dược, bán giúp một lô thuốc X không rõ nguồn gốc. Vì bị thanh tra liên ngành phát hiện và tịch thu toàn bộ lô thuốc X nên chị N không thanh toán tiền cho anh A và còn khai báo anh A là chủ nhân của lô thuốc đó khiến cho anh A vừa bị mất tiền, vừa bị cán bộ chức năng là ông B xử phạt. Biết sự việc này, chị G đã viết bài chia sẻ lên mạng xã hội. Những ai sau đây không tuân thủ pháp luật?","{'A': 'Anh A, chị N và chị G.', 'B': 'Anh A, chị G và ông B.', 'C': 'Anh A và chị G.', 'D': 'Anh A và chị N.'}"
history_2020_q3,history,easy,Vistral 7B,zero-shot,D,A,Nội dung nào sau đây là tác động tích cực của xu thế toàn cầu hoá từ đầu những năm 80 của thế kỉ XX?,"{'A': 'Sự phát triển nhanh của lực lượng sản xuất.', 'B': 'Sự kém an toàn về chính trị.', 'C': 'Sự kém an toàn về kinh tế.', 'D': 'Sự kém an toàn của đời sống con người.'}"
civics_2021_q89,civics,easy,Vistral 7B,few-shot,D,C,"Trong sản xuất và lưu thông hàng hóa, khi cầu tăng, sản xuất kinh doanh mở rộng thì lượng cung hàng hóa","{'A': 'bị triệt tiêu.', 'B': 'luôn ổn định.', 'C': 'tăng lên.', 'D': 'giảm xuống.'}"
biology_2021_q116,biology,hard,GPT-OSS 120B,self-cons,C,A,"Ở người, xét 2 gen trên 2 cặp NST thường; gen quy định nhóm máu có 3 alen là I^A, I^B, I^O; kiểu gen I^A I^A và I^A I^O quy định nhóm máu A; kiểu gen I^B I^B và I^B I^O quy định nhóm máu B; kiểu gen I^A I^B quy định nhóm máu AB; kiểu gen I^O I^O quy định nhóm máu O; gen quy định dạng tóc có 2 alen, alen D trội hoàn toàn so với alen d. Một cặp vợ chồng có nhóm máu khác nhau, sinh con trai tên là T có nhóm máu A, tóc quăn và 2 người con gái có kiểu hình khác bố, mẹ về cả 2 tính trạng đồng thời 2 người con gái này có nhóm máu khác nhau. Lớn lên, T kết hôn với H. Cho biết, H, bố H và mẹ H đều có nhóm máu A, tóc quăn nhưng em trai của H có nhóm máu O, tóc thẳng. Theo lí thuyết, xác suất sinh con đầu lòng là con trai có nhóm máu A, tóc thẳng của T và H là","{'A': '10/27.', 'B': '4/9.', 'C': '5/108.', 'D': '1/18.'}"
civics_2022_q93,civics,easy,Qwen3 235B,cot,C,A,"Theo quy định của pháp luật, tại thời điểm tổ chức bầu cử, cử tri không vi phạm nguyên tắc bầu cử khi","{'A': 'độc lập lựa chọn ứng cử viên.', 'B': 'ủy quyền thực hiện nghĩa vụ bầu cử.', 'C': 'đồng loạt sao chép phiếu bầu.', 'D': 'công khai nội dung đã viết vào phiếu bầu.'}"
geography_2022_q56,geography,easy,Vistral 7B,self-cons,A,C,Biện pháp hạn chế thiệt hại do bão gây ra ở vùng đồng bằng nước ta là,"{'A': 'sơ tán dân.', 'B': 'xây hồ thủy điện.', 'C': 'mở rộng đô thị.', 'D': 'chống hạn mặn.'}"
history_2020_q4,history,easy,Llama 3.1 8B,cot,A,B,"Từ năm 1945 đến năm 1954, nhân dân Lào đấu tranh chống lại kẻ thù nào sau đây?","{'A': 'Mêhicô.', 'B': 'Pháp.', 'C': 'Hà Lan.', 'D': 'Nam Phi.'}"
biology_2021_q116,biology,hard,Llama 3.1 8B,few-shot,C,A,"Ở người, xét 2 gen trên 2 cặp NST thường; gen quy định nhóm máu có 3 alen là I^A, I^B, I^O; kiểu gen I^A I^A và I^A I^O quy định nhóm máu A; kiểu gen I^B I^B và I^B I^O quy định nhóm máu B; kiểu gen I^A I^B quy định nhóm máu AB; kiểu gen I^O I^O quy định nhóm máu O; gen quy định dạng tóc có 2 alen, alen D trội hoàn toàn so với alen d. Một cặp vợ chồng có nhóm máu khác nhau, sinh con trai tên là T có nhóm máu A, tóc quăn và 2 người con gái có kiểu hình khác bố, mẹ về cả 2 tính trạng đồng thời 2 người con gái này có nhóm máu khác nhau. Lớn lên, T kết hôn với H. Cho biết, H, bố H và mẹ H đều có nhóm máu A, tóc quăn nhưng em trai của H có nhóm máu O, tóc thẳng. Theo lí thuyết, xác suất sinh con đầu lòng là con trai có nhóm máu A, tóc thẳng của T và H là","{'A': '10/27.', 'B': '4/9.', 'C': '5/108.', 'D': '1/18.'}"
biology_2023_q95,biology,easy,Qwen3 235B,few-shot,B,D,"Trong quá trình nhân đôi ADN, nuclêôtit guanin của môi trường nội bào liên kết bổ sung với nuclêôtit nào của mạch làm khuôn?","{'A': 'Guanin.', 'B': 'Ađênin.', 'C': 'Timin.', 'D': 'Xitôzin.'}"
history_2020_q22,history,medium,Llama 3.1 8B,few-shot,C,D,Quân dân miền Nam Việt Nam chiến đấu chống Chiến lược Chiến tranh cục bộ (1965 – 1968) của Mỹ nhằm thực hiện mục tiêu nào sau đây?,"{'A': 'Bảo vệ chính quyền Xviết.', 'B': 'Bảo vệ khu giải phóng Việt Bắc.', 'C': 'Bảo vệ căn cứ địa Cao Bằng.', 'D': 'Giải phóng hoàn toàn miền Nam.'}"
